,dataset,topic,topics,articles,tokens,coref_chain,mentions,event_mentions,entity_mentions,singletons,average_size_all,phrasing_diversity_weighted_all,unique_lemmas_all,F1_CONLL_all,average_size_wo_singl,phrasing_diversity_weighted_wo_singl,unique_lemmas_wo_singl,F1_CONLL_wo_singl
GVC\0\subtopic,GVC,0/661322,1,2,0,5,21,21,0,21,4.2,1.714,2.0,64.327,4.2,1.714,2.0,64.327
GVC\0\subtopic,GVC,0/662638,1,3,0,10,30,30,0,30,29.9,11.411,6.2,38.813,58.8,11.588,11.4,36.533
GVC\0\subtopic,GVC,0/663712,1,2,0,6,35,35,0,28,50.667,11.364,10.667,35.583,50.667,11.364,10.667,35.583
GVC\0\subtopic,GVC,0/664896,1,1,0,4,6,6,0,6,1.5,2.0,1.25,50.0,3.0,3.0,2.0,25.0
GVC\0\subtopic,GVC,0/666472,1,2,0,6,15,15,0,14,47.333,11.884,9.333,35.767,47.333,11.884,9.333,35.767
GVC\0\subtopic,GVC,0/667099,1,1,0,6,10,10,0,8,1.667,1.9,1.5,60.983,5.0,2.8,4.0,35.53
GVC\0\subtopic,GVC,0/669251,1,2,0,8,36,36,0,31,4.5,1.519,2.375,52.967,5.0,1.533,2.571,53.757
GVC\0\subtopic,GVC,0/669506,1,2,0,4,22,22,0,20,5.5,0.792,2.75,58.16,5.5,0.792,2.75,58.16
GVC\0\subtopic,GVC,0/675106,1,1,0,4,12,12,0,11,3.0,3.833,2.5,46.49,3.667,4.091,3.0,41.36
GVC\0\subtopic,GVC,0/677186,1,2,0,7,42,42,0,42,44.429,10.85,8.571,37.54,51.667,10.881,9.833,37.387
GVC\0\subtopic,GVC,0/677316,1,1,0,5,30,30,0,26,59.6,11.361,11.2,35.13,147.5,11.466,26.5,34.017
GVC\0\subtopic,GVC,0/678245,1,2,0,4,11,11,0,10,2.75,1.061,2.0,58.87,4.5,1.074,3.0,51.223
GVC\0\subtopic,GVC,0/680890,1,1,0,5,21,21,0,19,4.2,0.927,2.0,59.533,6.333,0.919,2.667,54.53
GVC\0\subtopic,GVC,0/681768,1,2,0,11,26,26,0,25,2.364,1.167,1.545,56.303,4.75,1.228,2.5,59.843
GVC\0\subtopic,GVC,0/682143,1,2,0,6,18,18,0,18,3.0,2.111,2.0,56.4,4.0,2.25,2.5,53.77
GVC\0\subtopic,GVC,0/682959,1,1,0,5,18,18,0,18,3.6,1.452,2.0,69.86,4.25,1.478,2.25,67.103
GVC\0\subtopic,GVC,0/683045,1,2,0,6,35,35,0,35,50.667,11.15,10.0,36.513,75.5,11.217,14.5,34.607
GVC\0\subtopic,GVC,0/685537,1,2,0,7,27,27,0,27,42.286,11.486,8.857,35.86,58.8,11.557,12.0,35.463
GVC\0\subtopic,GVC,0/688056,1,4,0,6,36,36,0,28,50.667,11.123,10.167,37.567,50.667,11.123,10.167,37.567
GVC\0\subtopic,GVC,0/688305,1,1,0,4,8,8,0,8,2.0,1.812,1.5,74.123,2.333,1.929,1.667,70.83
